accuracy,avg_forward_calls,correct,method,n,peak_mem_gb,seconds,task,wilson_high,wilson_low
0.44,,22,llada_base_fixed32,50,15.49878740310669,85.21483135223389,mmlu_pro,0.5769421319985648,0.3116198721023535
0.64,,32,llada_base_fixed32,50,15.444926738739014,98.13328671455383,pubmedqa,0.7586143703281711,0.5014076201030195
0.56,,28,llada_base_fixed32,50,15.11632776260376,51.938589096069336,ceval_computer_network,0.6883801278976466,0.4230578680014353
0.86,,43,llada_base_fixed32,50,15.092762470245361,53.63933801651001,sciq,0.9304925473797714,0.738135428014719
0.76,,38,llada_base_fixed32,50,15.062752723693848,53.70766997337341,winogrande,0.8570274759812779,0.6258705062480763
0.8,,40,llada_base_fixed32,50,15.082754611968994,53.485827922821045,commonsenseqa,0.8875637005402612,0.6696262789551477
0.86,,43,llada_base_fixed32,50,15.117756366729736,51.77406883239746,arc_challenge,0.9304925473797714,0.738135428014719
0.74,,37,llada_base_fixed32,50,15.227766036987305,68.88556098937988,hellaswag,0.8412862034863262,0.6044657801100008
0.84,,42,llada_base_fixed32,50,15.310632228851318,62.3193416595459,boolq,0.9166267863791231,0.7148551903823401
0.38,,19,llada_vanilla_lora_fixed32,50,15.53784990310669,94.25371170043945,mmlu_pro,0.5184980497760643,0.2586259584257722
0.7,,35,llada_vanilla_lora_fixed32,50,15.483989238739014,109.26839089393616,pubmedqa,0.8089661091039063,0.562493877226366
0.6,,30,llada_vanilla_lora_fixed32,50,15.15539026260376,58.298707008361816,ceval_computer_network,0.7239181021375425,0.4618118910275937
0.9,,45,llada_vanilla_lora_fixed32,50,15.132664203643799,59.827165365219116,sciq,0.956524876008429,0.7863950966521162
0.74,,37,llada_vanilla_lora_fixed32,50,15.101815223693848,59.564029932022095,winogrande,0.8412862034863262,0.6044657801100008
0.9,,45,llada_vanilla_lora_fixed32,50,15.122297763824463,59.551342487335205,commonsenseqa,0.956524876008429,0.7863950966521162
0.88,,44,llada_vanilla_lora_fixed32,50,15.156818866729736,58.08790111541748,arc_challenge,0.9438247628937535,0.7619492111337642
0.72,,36,llada_vanilla_lora_fixed32,50,15.266828536987305,77.06189227104187,hellaswag,0.8252598564231963,0.5833461285401034
0.88,,44,llada_vanilla_lora_fixed32,50,15.349694728851318,69.83407235145569,boolq,0.9438247628937535,0.7619492111337642
0.38,,19,llada_label_lora_fixed32,50,15.53784990310669,94.72213983535767,mmlu_pro,0.5184980497760643,0.2586259584257722
0.74,,37,llada_label_lora_fixed32,50,15.483989238739014,109.23474311828613,pubmedqa,0.8412862034863262,0.6044657801100008
0.6,,30,llada_label_lora_fixed32,50,15.15539026260376,58.27730703353882,ceval_computer_network,0.7239181021375425,0.4618118910275937
