[Wed Jun 10 03:13:17 CST 2026] train rslora_vanilla variant=rslora mode=vanilla steps=100
Loading checkpoint shards:   0%|          | 0/6 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 3/6 [00:00<00:00, 13.95it/s]Loading checkpoint shards:  83%|████████▎ | 5/6 [00:00<00:00, 13.86it/s]Loading checkpoint shards: 100%|██████████| 6/6 [00:00<00:00, 15.05it/s]
gradient_checkpointing skipped: LLaDAModelLM does not support gradient checkpointing.
trainable params: 10,485,760 || all params: 8,026,066,944 || trainable%: 0.1306
{"step": 1, "loss": 0.027861902490258217, "choice_loss": 0.0005062728887423873, "denoise_loss": 0.027861902490258217, "consistency_loss": 0.0}
{"step": 10, "loss": 0.3938879668712616, "choice_loss": 0.38687101006507874, "denoise_loss": 0.3938879668712616, "consistency_loss": 0.0}
{"step": 20, "loss": 0.056156959384679794, "choice_loss": 0.05232494696974754, "denoise_loss": 0.056156959384679794, "consistency_loss": 0.0}
{"step": 30, "loss": 1.1553621292114258, "choice_loss": 1.1408709287643433, "denoise_loss": 1.1553621292114258, "consistency_loss": 0.0}
{"step": 40, "loss": 0.016453418880701065, "choice_loss": 0.01429390162229538, "denoise_loss": 0.016453418880701065, "consistency_loss": 0.0}
{"step": 50, "loss": 1.3705556392669678, "choice_loss": 1.341118574142456, "denoise_loss": 1.3705556392669678, "consistency_loss": 0.0}
{"step": 60, "loss": 0.0024945589248090982, "choice_loss": 0.0007557396893389523, "denoise_loss": 0.0024945589248090982, "consistency_loss": 0.0}
{"step": 70, "loss": 0.0008419782971031964, "choice_loss": 0.00046456989366561174, "denoise_loss": 0.0008419782971031964, "consistency_loss": 0.0}
{"step": 80, "loss": 0.004413150716573, "choice_loss": 0.004059646278619766, "denoise_loss": 0.004413150716573, "consistency_loss": 0.0}
{"step": 90, "loss": 0.6337466239929199, "choice_loss": 0.6314226388931274, "denoise_loss": 0.6337466239929199, "consistency_loss": 0.0}
{"step": 100, "loss": 0.0003212174342479557, "choice_loss": 4.827859811484814e-05, "denoise_loss": 0.0003212174342479557, "consistency_loss": 0.0}
[Wed Jun 10 03:15:52 CST 2026] eval rslora_vanilla
Loading checkpoint shards:   0%|          | 0/6 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 6/6 [00:00<00:00, 160.96it/s]
{"task": "mmlu_pro", "id": "4888", "gold": "H", "pred": "H", "correct": true}
{"task": "mmlu_pro", "id": "1458", "gold": "C", "pred": "B", "correct": false}
{"task": "mmlu_pro", "id": "351", "gold": "H", "pred": "H", "correct": true}
{"task": "mmlu_pro", "id": "9891", "gold": "I", "pred": "I", "correct": true}
{"task": "mmlu_pro", "id": "5167", "gold": "B", "pred": "B", "correct": true}
{"task": "mmlu_pro", "id": "7112", "gold": "G", "pred": "H", "correct": false}
{"task": "mmlu_pro", "id": "6376", "gold": "E", "pred": "E", "correct": true}
{"task": "mmlu_pro", "id": "8872", "gold": "A", "pred": "C", "correct": false}
{"task": "mmlu_pro", "id": "6026", "gold": "A", "pred": "F", "correct": false}
{"task": "mmlu_pro", "id": "2234", "gold": "C", "pred": "I", "correct": false}
{"task": "mmlu_pro", "id": "12119", "gold": "F", "pred": "I", "correct": false}
{"task": "mmlu_pro", "id": "3266", "gold": "J", "pred": "B", "correct": false}
{"task": "mmlu_pro", "id": "4512", "gold": "D", "pred": "D", "correct": true}
{"task": "mmlu_pro", "id": "7463", "gold": "D", "pred": "D", "correct": true}
{"task": "mmlu_pro", "id": "302", "gold": "H", "pred": "H", "correct": true}
{"task": "mmlu_pro", "id": "3744", "gold": "A", "pred": "I", "correct": false}
{"task": "mmlu_pro", "id": "10362", "gold": "A", "pred": "C", "correct": false}
{"task": "mmlu_pro", "id": "7638", "gold": "E", "pred": "E", "correct": true}
{"task": "mmlu_pro", "id": "479", "gold": "B", "pred": "D", "correct": false}
{"task": "mmlu_pro", "id": "1830", "gold": "I", "pred": "D", "correct": false}
{"task": "mmlu_pro", "id": "1496", "gold": "C", "pred": "D", "correct": false}
{"task": "mmlu_pro", "id": "11856", "gold": "I", "pred": "I", "correct": true}
{"task": "mmlu_pro", "id": "8350", "gold": "I", "pred": "I", "correct": true}
{"task": "mmlu_pro", "id": "7071", "gold": "F", "pred": "E", "correct": false}
{"task": "mmlu_pro", "id": "393", "gold": "J", "pred": "J", "correct": true}
{"task": "mmlu_pro", "id": "8585", "gold": "C", "pred": "D", "correct": false}
{"task": "mmlu_pro", "id": "10488", "gold": "D", "pred": "D", "correct": true}
{"task": "mmlu_pro", "id": "12254", "gold": "F", "pred": "F", "correct": true}
{"task": "mmlu_pro", "id": "7239", "gold": "F", "pred": "I", "correct": false}
{"task": "mmlu_pro", "id": "6041", "gold": "B", "pred": "H", "correct": false}
{"task": "mmlu_pro", "id": "1021", "gold": "E", "pred": "H", "correct": false}
{"task": "mmlu_pro", "id": "3489", "gold": "I", "pred": "I", "correct": true}
{"task": "mmlu_pro", "id": "654", "gold": "A", "pred": "A", "correct": true}
{"task": "mmlu_pro", "id": "9843", "gold": "A", "pred": "J", "correct": false}
{"task": "mmlu_pro", "id": "6209", "gold": "I", "pred": "I", "correct": true}
{"task": "mmlu_pro", "id": "10994", "gold": "E", "pred": "B", "correct": false}
{"task": "mmlu_pro", "id": "2934", "gold": "F", "pred": "F", "correct": true}
{"task": "mmlu_pro", "id": "10376", "gold": "A", "pred": "H", "correct": false}
{"task": "mmlu_pro", "id": "3660", "gold": "B", "pred": "F", "correct": false}
{"task": "mmlu_pro", "id": "6104", "gold": "I", "pred": "B", "correct": false}
{"task": "mmlu_pro", "id": "9454", "gold": "I", "pred": "C", "correct": false}
{"task": "mmlu_pro", "id": "6202", "gold": "F", "pred": "G", "correct": false}
{"task": "mmlu_pro", "id": "9561", "gold": "F", "pred": "H", "correct": false}
{"task": "mmlu_pro", "id": "4740", "gold": "C", "pred": "H", "correct": false}
{"task": "mmlu_pro", "id": "11039", "gold": "D", "pred": "J", "correct": false}
{"task": "mmlu_pro", "id": "5292", "gold": "C", "pred": "A", "correct": false}
{"task": "mmlu_pro", "id": "9576", "gold": "B", "pred": "H", "correct": false}
{"task": "mmlu_pro", "id": "1495", "gold": "D", "pred": "H", "correct": false}
{"task": "mmlu_pro", "id": "7950", "gold": "C", "pred": "I", "correct": false}
{"task": "mmlu_pro", "id": "3028", "gold": "D", "pred": "D", "correct": true}
{"task": "pubmedqa", "id": "24098953", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "25103647", "gold": "maybe", "pred": "yes", "correct": false}
{"task": "pubmedqa", "id": "23972333", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "10759659", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "21880023", "gold": "no", "pred": "yes", "correct": false}
{"task": "pubmedqa", "id": "14627582", "gold": "no", "pred": "yes", "correct": false}
{"task": "pubmedqa", "id": "22427593", "gold": "maybe", "pred": "maybe", "correct": true}
{"task": "pubmedqa", "id": "17096624", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "20497146", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "15939071", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "17259061", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "21346501", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "26818046", "gold": "yes", "pred": "yes", "correct": true}
{"task": "pubmedqa", "id": "26548832", "gold": "yes", "pred": "yes", "correct": true}
