method,task,accuracy,correct,n
llada_base_fixed32,mmlu_pro,0.44,22,50
llada_base_fixed32,pubmedqa,0.64,32,50
llada_base_fixed32,ceval_computer_network,0.56,28,50
llada_base_fixed32,sciq,0.86,43,50
llada_base_fixed32,winogrande,0.76,38,50
llada_base_fixed32,commonsenseqa,0.8,40,50
llada_base_fixed32,arc_challenge,0.86,43,50
llada_base_fixed32,hellaswag,0.74,37,50
llada_base_fixed32,boolq,0.84,42,50
llada_vanilla_lora_fixed32,mmlu_pro,0.38,19,50
llada_vanilla_lora_fixed32,pubmedqa,0.7,35,50
llada_vanilla_lora_fixed32,ceval_computer_network,0.6,30,50
llada_vanilla_lora_fixed32,sciq,0.9,45,50
llada_vanilla_lora_fixed32,winogrande,0.74,37,50
llada_vanilla_lora_fixed32,commonsenseqa,0.9,45,50
llada_vanilla_lora_fixed32,arc_challenge,0.88,44,50
llada_vanilla_lora_fixed32,hellaswag,0.72,36,50
llada_vanilla_lora_fixed32,boolq,0.88,44,50
llada_label_lora_fixed32,mmlu_pro,0.38,19,50
llada_label_lora_fixed32,pubmedqa,0.74,37,50
llada_label_lora_fixed32,ceval_computer_network,0.6,30,50
llada_label_lora_fixed32,sciq,0.86,43,50
llada_label_lora_fixed32,winogrande,0.74,37,50
llada_label_lora_fixed32,commonsenseqa,0.84,42,50
llada_label_lora_fixed32,arc_challenge,0.88,44,50
llada_label_lora_fixed32,hellaswag,0.68,34,50
llada_label_lora_fixed32,boolq,0.88,44,50
llada_choice_noise_lora_fixed32,mmlu_pro,0.42,21,50
llada_choice_noise_lora_fixed32,pubmedqa,0.74,37,50
llada_choice_noise_lora_fixed32,ceval_computer_network,0.58,29,50
llada_choice_noise_lora_fixed32,sciq,0.88,44,50
llada_choice_noise_lora_fixed32,winogrande,0.74,37,50
llada_choice_noise_lora_fixed32,commonsenseqa,0.82,41,50
llada_choice_noise_lora_fixed32,arc_challenge,0.88,44,50
llada_choice_noise_lora_fixed32,hellaswag,0.68,34,50
llada_choice_noise_lora_fixed32,boolq,0.9,45,50
llada_vanilla_lora_controller,mmlu_pro,0.38,19,50
llada_vanilla_lora_controller,pubmedqa,0.74,37,50
llada_vanilla_lora_controller,ceval_computer_network,0.6,30,50
llada_vanilla_lora_controller,sciq,0.9,45,50
llada_vanilla_lora_controller,winogrande,0.72,36,50
llada_vanilla_lora_controller,commonsenseqa,0.9,45,50
llada_vanilla_lora_controller,arc_challenge,0.88,44,50
llada_vanilla_lora_controller,hellaswag,0.72,36,50
llada_vanilla_lora_controller,boolq,0.84,42,50
llada_rslora_vanilla_fixed32,mmlu_pro,0.38,19,50
llada_rslora_vanilla_fixed32,pubmedqa,0.74,37,50
llada_rslora_vanilla_fixed32,ceval_computer_network,0.6,30,50
llada_rslora_vanilla_fixed32,sciq,0.88,44,50
llada_rslora_vanilla_fixed32,winogrande,0.78,39,50
llada_rslora_vanilla_fixed32,commonsenseqa,0.84,42,50
llada_rslora_vanilla_fixed32,arc_challenge,0.86,43,50
llada_rslora_vanilla_fixed32,hellaswag,0.7,35,50
llada_rslora_vanilla_fixed32,boolq,0.84,42,50
llada_dora_vanilla_fixed32,mmlu_pro,0.38,19,50
llada_dora_vanilla_fixed32,pubmedqa,0.7,35,50
llada_dora_vanilla_fixed32,ceval_computer_network,0.58,29,50
llada_dora_vanilla_fixed32,sciq,0.88,44,50
llada_dora_vanilla_fixed32,winogrande,0.72,36,50
llada_dora_vanilla_fixed32,commonsenseqa,0.88,44,50
llada_dora_vanilla_fixed32,arc_challenge,0.86,43,50
llada_dora_vanilla_fixed32,hellaswag,0.72,36,50
llada_dora_vanilla_fixed32,boolq,0.88,44,50
llada_loraplus_vanilla_fixed32,mmlu_pro,0.44,22,50
llada_loraplus_vanilla_fixed32,pubmedqa,0.74,37,50
llada_loraplus_vanilla_fixed32,ceval_computer_network,0.56,28,50
llada_loraplus_vanilla_fixed32,sciq,0.86,43,50
llada_loraplus_vanilla_fixed32,winogrande,0.8,40,50
llada_loraplus_vanilla_fixed32,commonsenseqa,0.82,41,50
llada_loraplus_vanilla_fixed32,arc_challenge,0.84,42,50
llada_loraplus_vanilla_fixed32,hellaswag,0.74,37,50
llada_loraplus_vanilla_fixed32,boolq,0.88,44,50
llada_nara_vanilla_fixed32,mmlu_pro,0.38,19,50
llada_nara_vanilla_fixed32,pubmedqa,0.72,36,50
llada_nara_vanilla_fixed32,ceval_computer_network,0.58,29,50
llada_nara_vanilla_fixed32,sciq,0.9,45,50
llada_nara_vanilla_fixed32,winogrande,0.72,36,50
llada_nara_vanilla_fixed32,commonsenseqa,0.88,44,50
llada_nara_vanilla_fixed32,arc_challenge,0.9,45,50
llada_nara_vanilla_fixed32,hellaswag,0.72,36,50
llada_nara_vanilla_fixed32,boolq,0.9,45,50
llada_nara_choice_noise_fixed32,mmlu_pro,0.38,19,50
llada_nara_choice_noise_fixed32,pubmedqa,0.74,37,50
llada_nara_choice_noise_fixed32,ceval_computer_network,0.58,29,50
llada_nara_choice_noise_fixed32,sciq,0.88,44,50
llada_nara_choice_noise_fixed32,winogrande,0.76,38,50
llada_nara_choice_noise_fixed32,commonsenseqa,0.84,42,50
llada_nara_choice_noise_fixed32,arc_challenge,0.9,45,50
llada_nara_choice_noise_fixed32,hellaswag,0.68,34,50
llada_nara_choice_noise_fixed32,boolq,0.9,45,50
