method,status,tasks,correct,n,macro_accuracy,micro_accuracy
base_fixed32,complete,9,325,450,0.7222222222222222,0.7222222222222222
vanilla_lora_fixed32,complete,9,335,450,0.7444444444444445,0.7444444444444445
label_lora_fixed32,complete,9,330,450,0.7333333333333333,0.7333333333333333
choice_noise_lora_fixed32,complete,9,332,450,0.7377777777777778,0.7377777777777778
nara_vanilla_fixed32,complete,9,335,450,0.7444444444444445,0.7444444444444445
loraplus_vanilla_fixed32,complete,9,334,450,0.7422222222222222,0.7422222222222222
rslora_vanilla_fixed32,complete,9,331,450,0.7355555555555555,0.7355555555555555
dora_vanilla_fixed32,complete,9,330,450,0.7333333333333333,0.7333333333333333
tardi_lora_balanced_r8,complete,9,342,450,0.76,0.76
tardi_lora_balanced_r8_highnoise,complete,9,349,450,0.7755555555555556,0.7755555555555556
tardi_lora_balanced_r16,complete,9,349,450,0.7755555555555556,0.7755555555555556
tardi_lora_balanced_loraplus_r16,complete,9,343,450,0.7622222222222222,0.7622222222222222
tardi_lora_balanced_r8_lr5e5_s150,complete,9,342,450,0.76,0.76
tardi_lora_balanced_r16_highnoise,complete,9,346,450,0.7688888888888888,0.7688888888888888
tasknara_r8_highnoise,complete,9,348,450,0.7733333333333333,0.7733333333333333
tasknara_r16,complete,9,341,450,0.7577777777777778,0.7577777777777778
