method,task,accuracy,correct,n
base_fixed32,arc_challenge,0.86,43,50
base_fixed32,boolq,0.84,42,50
base_fixed32,ceval_computer_network,0.56,28,50
base_fixed32,commonsenseqa,0.8,40,50
base_fixed32,hellaswag,0.74,37,50
base_fixed32,mmlu_pro,0.44,22,50
base_fixed32,pubmedqa,0.64,32,50
base_fixed32,sciq,0.86,43,50
base_fixed32,winogrande,0.76,38,50
vanilla_lora_fixed32,arc_challenge,0.88,44,50
vanilla_lora_fixed32,boolq,0.88,44,50
vanilla_lora_fixed32,ceval_computer_network,0.6,30,50
vanilla_lora_fixed32,commonsenseqa,0.9,45,50
vanilla_lora_fixed32,hellaswag,0.72,36,50
vanilla_lora_fixed32,mmlu_pro,0.38,19,50
vanilla_lora_fixed32,pubmedqa,0.7,35,50
vanilla_lora_fixed32,sciq,0.9,45,50
vanilla_lora_fixed32,winogrande,0.74,37,50
label_lora_fixed32,arc_challenge,0.88,44,50
label_lora_fixed32,boolq,0.88,44,50
label_lora_fixed32,ceval_computer_network,0.6,30,50
label_lora_fixed32,commonsenseqa,0.84,42,50
label_lora_fixed32,hellaswag,0.68,34,50
label_lora_fixed32,mmlu_pro,0.38,19,50
label_lora_fixed32,pubmedqa,0.74,37,50
label_lora_fixed32,sciq,0.86,43,50
label_lora_fixed32,winogrande,0.74,37,50
choice_noise_lora_fixed32,arc_challenge,0.88,44,50
choice_noise_lora_fixed32,boolq,0.9,45,50
choice_noise_lora_fixed32,ceval_computer_network,0.58,29,50
choice_noise_lora_fixed32,commonsenseqa,0.82,41,50
choice_noise_lora_fixed32,hellaswag,0.68,34,50
choice_noise_lora_fixed32,mmlu_pro,0.42,21,50
choice_noise_lora_fixed32,pubmedqa,0.74,37,50
choice_noise_lora_fixed32,sciq,0.88,44,50
choice_noise_lora_fixed32,winogrande,0.74,37,50
nara_vanilla_fixed32,arc_challenge,0.9,45,50
nara_vanilla_fixed32,boolq,0.9,45,50
nara_vanilla_fixed32,ceval_computer_network,0.58,29,50
nara_vanilla_fixed32,commonsenseqa,0.88,44,50
nara_vanilla_fixed32,hellaswag,0.72,36,50
nara_vanilla_fixed32,mmlu_pro,0.38,19,50
nara_vanilla_fixed32,pubmedqa,0.72,36,50
nara_vanilla_fixed32,sciq,0.9,45,50
nara_vanilla_fixed32,winogrande,0.72,36,50
loraplus_vanilla_fixed32,arc_challenge,0.84,42,50
loraplus_vanilla_fixed32,boolq,0.88,44,50
loraplus_vanilla_fixed32,ceval_computer_network,0.56,28,50
loraplus_vanilla_fixed32,commonsenseqa,0.82,41,50
loraplus_vanilla_fixed32,hellaswag,0.74,37,50
loraplus_vanilla_fixed32,mmlu_pro,0.44,22,50
loraplus_vanilla_fixed32,pubmedqa,0.74,37,50
loraplus_vanilla_fixed32,sciq,0.86,43,50
loraplus_vanilla_fixed32,winogrande,0.8,40,50
rslora_vanilla_fixed32,arc_challenge,0.86,43,50
rslora_vanilla_fixed32,boolq,0.84,42,50
rslora_vanilla_fixed32,ceval_computer_network,0.6,30,50
rslora_vanilla_fixed32,commonsenseqa,0.84,42,50
rslora_vanilla_fixed32,hellaswag,0.7,35,50
rslora_vanilla_fixed32,mmlu_pro,0.38,19,50
rslora_vanilla_fixed32,pubmedqa,0.74,37,50
rslora_vanilla_fixed32,sciq,0.88,44,50
rslora_vanilla_fixed32,winogrande,0.78,39,50
dora_vanilla_fixed32,arc_challenge,0.86,43,50
dora_vanilla_fixed32,boolq,0.88,44,50
dora_vanilla_fixed32,ceval_computer_network,0.58,29,50
dora_vanilla_fixed32,commonsenseqa,0.88,44,50
dora_vanilla_fixed32,hellaswag,0.72,36,50
dora_vanilla_fixed32,mmlu_pro,0.38,19,50
dora_vanilla_fixed32,pubmedqa,0.7,35,50
dora_vanilla_fixed32,sciq,0.88,44,50
dora_vanilla_fixed32,winogrande,0.72,36,50
tardi_lora_balanced_r8,arc_challenge,0.82,41,50
tardi_lora_balanced_r8,boolq,0.9,45,50
tardi_lora_balanced_r8,ceval_computer_network,0.64,32,50
tardi_lora_balanced_r8,commonsenseqa,0.9,45,50
tardi_lora_balanced_r8,hellaswag,0.76,38,50
tardi_lora_balanced_r8,mmlu_pro,0.42,21,50
tardi_lora_balanced_r8,pubmedqa,0.74,37,50
tardi_lora_balanced_r8,sciq,0.92,46,50
tardi_lora_balanced_r8,winogrande,0.74,37,50
tardi_lora_balanced_r8_highnoise,arc_challenge,0.86,43,50
tardi_lora_balanced_r8_highnoise,boolq,0.92,46,50
tardi_lora_balanced_r8_highnoise,ceval_computer_network,0.64,32,50
tardi_lora_balanced_r8_highnoise,commonsenseqa,0.92,46,50
tardi_lora_balanced_r8_highnoise,hellaswag,0.78,39,50
tardi_lora_balanced_r8_highnoise,mmlu_pro,0.44,22,50
tardi_lora_balanced_r8_highnoise,pubmedqa,0.74,37,50
tardi_lora_balanced_r8_highnoise,sciq,0.92,46,50
tardi_lora_balanced_r8_highnoise,winogrande,0.76,38,50
tardi_lora_balanced_r16,arc_challenge,0.84,42,50
tardi_lora_balanced_r16,boolq,0.9,45,50
tardi_lora_balanced_r16,ceval_computer_network,0.7,35,50
tardi_lora_balanced_r16,commonsenseqa,0.9,45,50
tardi_lora_balanced_r16,hellaswag,0.8,40,50
tardi_lora_balanced_r16,mmlu_pro,0.42,21,50
tardi_lora_balanced_r16,pubmedqa,0.74,37,50
tardi_lora_balanced_r16,sciq,0.92,46,50
tardi_lora_balanced_r16,winogrande,0.76,38,50
tardi_lora_balanced_loraplus_r16,arc_challenge,0.84,42,50
tardi_lora_balanced_loraplus_r16,boolq,0.88,44,50
tardi_lora_balanced_loraplus_r16,ceval_computer_network,0.56,28,50
tardi_lora_balanced_loraplus_r16,commonsenseqa,0.86,43,50
tardi_lora_balanced_loraplus_r16,hellaswag,0.82,41,50
tardi_lora_balanced_loraplus_r16,mmlu_pro,0.42,21,50
tardi_lora_balanced_loraplus_r16,pubmedqa,0.72,36,50
tardi_lora_balanced_loraplus_r16,sciq,0.92,46,50
tardi_lora_balanced_loraplus_r16,winogrande,0.84,42,50
tardi_lora_balanced_r8_lr5e5_s150,arc_challenge,0.84,42,50
tardi_lora_balanced_r8_lr5e5_s150,boolq,0.9,45,50
tardi_lora_balanced_r8_lr5e5_s150,ceval_computer_network,0.62,31,50
tardi_lora_balanced_r8_lr5e5_s150,commonsenseqa,0.92,46,50
tardi_lora_balanced_r8_lr5e5_s150,hellaswag,0.74,37,50
tardi_lora_balanced_r8_lr5e5_s150,mmlu_pro,0.42,21,50
tardi_lora_balanced_r8_lr5e5_s150,pubmedqa,0.74,37,50
tardi_lora_balanced_r8_lr5e5_s150,sciq,0.92,46,50
tardi_lora_balanced_r8_lr5e5_s150,winogrande,0.74,37,50
tardi_lora_balanced_r16_highnoise,arc_challenge,0.86,43,50
tardi_lora_balanced_r16_highnoise,boolq,0.88,44,50
tardi_lora_balanced_r16_highnoise,ceval_computer_network,0.66,33,50
tardi_lora_balanced_r16_highnoise,commonsenseqa,0.84,42,50
tardi_lora_balanced_r16_highnoise,hellaswag,0.78,39,50
tardi_lora_balanced_r16_highnoise,mmlu_pro,0.44,22,50
tardi_lora_balanced_r16_highnoise,pubmedqa,0.74,37,50
tardi_lora_balanced_r16_highnoise,sciq,0.92,46,50
tardi_lora_balanced_r16_highnoise,winogrande,0.8,40,50
tasknara_r8_highnoise,arc_challenge,0.84,42,50
tasknara_r8_highnoise,boolq,0.92,46,50
tasknara_r8_highnoise,ceval_computer_network,0.68,34,50
tasknara_r8_highnoise,commonsenseqa,0.9,45,50
tasknara_r8_highnoise,hellaswag,0.78,39,50
tasknara_r8_highnoise,mmlu_pro,0.42,21,50
tasknara_r8_highnoise,pubmedqa,0.74,37,50
tasknara_r8_highnoise,sciq,0.92,46,50
tasknara_r8_highnoise,winogrande,0.76,38,50
tasknara_r16,arc_challenge,0.84,42,50
tasknara_r16,boolq,0.9,45,50
tasknara_r16,ceval_computer_network,0.62,31,50
tasknara_r16,commonsenseqa,0.9,45,50
tasknara_r16,hellaswag,0.74,37,50
tasknara_r16,mmlu_pro,0.4,20,50
tasknara_r16,pubmedqa,0.74,37,50
tasknara_r16,sciq,0.92,46,50
tasknara_r16,winogrande,0.76,38,50
