method,task,accuracy,correct,n
tasknara_residual_vanilla_highnoise,arc_challenge,0.82,41,50
tasknara_residual_vanilla_highnoise,boolq,0.9,45,50
tasknara_residual_vanilla_highnoise,ceval_computer_network,0.6,30,50
tasknara_residual_vanilla_highnoise,commonsenseqa,0.92,46,50
tasknara_residual_vanilla_highnoise,hellaswag,0.76,38,50
tasknara_residual_vanilla_highnoise,mmlu_pro,0.44,22,50
tasknara_residual_vanilla_highnoise,pubmedqa,0.76,38,50
tasknara_residual_vanilla_highnoise,sciq,0.92,46,50
tasknara_residual_vanilla_highnoise,winogrande,0.8,40,50
tasknara_residual_label_highnoise,arc_challenge,0.82,41,50
tasknara_residual_label_highnoise,boolq,0.88,44,50
tasknara_residual_label_highnoise,ceval_computer_network,0.6,30,50
tasknara_residual_label_highnoise,commonsenseqa,0.88,44,50
tasknara_residual_label_highnoise,hellaswag,0.78,39,50
tasknara_residual_label_highnoise,mmlu_pro,0.42,21,50
tasknara_residual_label_highnoise,pubmedqa,0.76,38,50
tasknara_residual_label_highnoise,sciq,0.92,46,50
tasknara_residual_label_highnoise,winogrande,0.8,40,50
