method,task,accuracy,correct,n
tasknara_r8_highnoise,arc_challenge,0.84,42,50
tasknara_r8_highnoise,boolq,0.92,46,50
tasknara_r8_highnoise,ceval_computer_network,0.68,34,50
tasknara_r8_highnoise,commonsenseqa,0.9,45,50
tasknara_r8_highnoise,hellaswag,0.78,39,50
tasknara_r8_highnoise,mmlu_pro,0.42,21,50
tasknara_r8_highnoise,pubmedqa,0.74,37,50
tasknara_r8_highnoise,sciq,0.92,46,50
tasknara_r8_highnoise,winogrande,0.76,38,50
tasknara_r16,arc_challenge,0.84,42,50
tasknara_r16,boolq,0.9,45,50
tasknara_r16,ceval_computer_network,0.62,31,50
tasknara_r16,commonsenseqa,0.9,45,50
tasknara_r16,hellaswag,0.74,37,50
tasknara_r16,mmlu_pro,0.4,20,50
tasknara_r16,pubmedqa,0.74,37,50
tasknara_r16,sciq,0.92,46,50
tasknara_r16,winogrande,0.76,38,50
