task,method,method_label,n,accuracy,wilson_low,wilson_high,avg_forward_calls,seconds,route_or_stop_rate,invalid_rate,blank_rate,rows_len,file
mmlu_pro,refinement,ours_refinement_controller,50,0.4,0.2760818978624575,0.5381881089724063,32.64,291.78210973739624,,0.0,0.0,50,llada8b_refinement_mmlu_pro_limit50_seed23.json
mmlu_pro,fixed32,fixed32_uniform,50,0.4,0.2760818978624575,0.5381881089724063,32.0,272.06379675865173,,0.0,0.0,50,llada8b_fixed32_mmlu_pro_limit50_seed23.json
mmlu_pro,jys_middle16,jys_like_middle16,50,0.4,0.2760818978624575,0.5381881089724063,16.0,142.7869393825531,,0.0,0.0,50,llada8b_jys_middle16_mmlu_pro_limit50_seed23.json
mmlu_pro,prophet,prophet_early_commit,50,0.4,0.2760818978624575,0.5381881089724063,31.6,265.32665514945984,,0.0,0.0,50,llada8b_prophet_mmlu_pro_limit50_seed23.json
pubmedqa,refinement,ours_refinement_controller,50,0.64,0.5014076201030195,0.7586143703281711,33.0,368.4811851978302,,0.0,0.0,50,llada8b_refinement_pubmedqa_limit50_seed23.json
pubmedqa,fixed32,fixed32_uniform,50,0.62,0.4815019502239357,0.7413740415742278,32.0,307.37416672706604,,0.0,0.0,50,llada8b_fixed32_pubmedqa_limit50_seed23.json
pubmedqa,jys_middle16,jys_like_middle16,50,0.62,0.4815019502239357,0.7413740415742278,16.0,168.37912511825562,,0.02,0.02,50,llada8b_jys_middle16_pubmedqa_limit50_seed23.json
pubmedqa,prophet,prophet_early_commit,50,0.64,0.5014076201030195,0.7586143703281711,32.0,344.2489233016968,,0.0,0.0,50,llada8b_prophet_pubmedqa_limit50_seed23.json
ceval_computer_network,refinement,ours_refinement_controller,50,0.56,0.4230578680014353,0.6883801278976466,33.0,192.95265579223633,,0.0,0.0,50,llada8b_refinement_ceval_computer_network_limit50_seed23.json
ceval_computer_network,fixed32,fixed32_uniform,50,0.56,0.4230578680014353,0.6883801278976466,32.0,144.64834141731262,,0.0,0.0,50,llada8b_fixed32_ceval_computer_network_limit50_seed23.json
ceval_computer_network,jys_middle16,jys_like_middle16,50,0.56,0.4230578680014353,0.6883801278976466,16.0,77.19801878929138,,0.0,0.0,50,llada8b_jys_middle16_ceval_computer_network_limit50_seed23.json
ceval_computer_network,prophet,prophet_early_commit,50,0.56,0.4230578680014353,0.6883801278976466,32.0,143.4063844680786,,0.0,0.0,50,llada8b_prophet_ceval_computer_network_limit50_seed23.json
sciq,refinement,ours_refinement_controller,50,0.86,0.738135428014719,0.9304925473797714,33.0,155.40210223197937,,0.0,0.0,50,llada8b_refinement_sciq_limit50_seed23.json
sciq,fixed32,fixed32_uniform,50,0.86,0.738135428014719,0.9304925473797714,32.0,143.49679374694824,,0.0,0.0,50,llada8b_fixed32_sciq_limit50_seed23.json
sciq,jys_middle16,jys_like_middle16,50,0.86,0.738135428014719,0.9304925473797714,16.0,85.28364276885986,,0.0,0.0,50,llada8b_jys_middle16_sciq_limit50_seed23.json
sciq,prophet,prophet_early_commit,50,0.86,0.738135428014719,0.9304925473797714,32.0,66.2256212234497,,0.0,0.0,50,llada8b_prophet_sciq_limit50_seed23.json
winogrande,refinement,ours_refinement_controller,50,0.76,0.6258705062480763,0.8570274759812779,13.32,23.96767807006836,,0.0,0.0,50,llada8b_refinement_winogrande_limit50_seed23.json
winogrande,fixed32,fixed32_uniform,50,0.76,0.6258705062480763,0.8570274759812779,32.0,75.7616937160492,,0.0,0.0,50,llada8b_fixed32_winogrande_limit50_seed23.json
winogrande,jys_middle16,jys_like_middle16,50,0.74,0.6044657801100008,0.8412862034863262,16.0,45.661134004592896,,0.04,0.04,50,llada8b_jys_middle16_winogrande_limit50_seed23.json
winogrande,prophet,prophet_early_commit,50,0.76,0.6258705062480763,0.8570274759812779,32.0,115.86836910247803,,0.0,0.0,50,llada8b_prophet_winogrande_limit50_seed23.json
commonsenseqa,refinement,ours_refinement_controller,50,0.8,0.6696262789551477,0.8875637005402612,10.04,17.403677940368652,,0.0,0.0,50,llada8b_refinement_commonsenseqa_limit50_seed23.json
commonsenseqa,fixed32,fixed32_uniform,50,0.8,0.6696262789551477,0.8875637005402612,32.0,57.0522825717926,,0.0,0.0,50,llada8b_fixed32_commonsenseqa_limit50_seed23.json
commonsenseqa,jys_middle16,jys_like_middle16,50,0.8,0.6696262789551477,0.8875637005402612,16.0,62.02946925163269,,0.0,0.0,50,llada8b_jys_middle16_commonsenseqa_limit50_seed23.json
commonsenseqa,prophet,prophet_early_commit,50,0.8,0.6696262789551477,0.8875637005402612,32.0,119.66157984733582,,0.0,0.0,50,llada8b_prophet_commonsenseqa_limit50_seed23.json
arc_challenge,refinement,ours_refinement_controller,50,0.86,0.738135428014719,0.9304925473797714,33.0,57.0412814617157,,0.0,0.0,50,llada8b_refinement_arc_challenge_limit50_seed23.json
arc_challenge,fixed32,fixed32_uniform,50,0.86,0.738135428014719,0.9304925473797714,32.0,85.17540287971497,,0.0,0.0,50,llada8b_fixed32_arc_challenge_limit50_seed23.json
arc_challenge,jys_middle16,jys_like_middle16,50,0.86,0.738135428014719,0.9304925473797714,16.0,56.64993906021118,,0.0,0.0,50,llada8b_jys_middle16_arc_challenge_limit50_seed23.json
arc_challenge,prophet,prophet_early_commit,50,0.86,0.738135428014719,0.9304925473797714,32.0,85.45480418205261,,0.0,0.0,50,llada8b_prophet_arc_challenge_limit50_seed23.json
hellaswag,refinement,ours_refinement_controller,50,0.74,0.6044657801100008,0.8412862034863262,33.0,63.57025957107544,,0.0,0.0,50,llada8b_refinement_hellaswag_limit50_seed23.json
hellaswag,fixed32,fixed32_uniform,50,0.74,0.6044657801100008,0.8412862034863262,32.0,143.56019020080566,,0.0,0.0,50,llada8b_fixed32_hellaswag_limit50_seed23.json
hellaswag,jys_middle16,jys_like_middle16,50,0.74,0.6044657801100008,0.8412862034863262,16.0,81.5940580368042,,0.0,0.0,50,llada8b_jys_middle16_hellaswag_limit50_seed23.json
hellaswag,prophet,prophet_early_commit,50,0.74,0.6044657801100008,0.8412862034863262,32.0,60.77358603477478,,0.0,0.0,50,llada8b_prophet_hellaswag_limit50_seed23.json
boolq,refinement,ours_refinement_controller,50,0.84,0.7148551903823401,0.9166267863791231,11.08,43.548240661621094,,0.0,0.0,50,llada8b_refinement_boolq_limit50_seed23.json
boolq,fixed32,fixed32_uniform,50,0.86,0.738135428014719,0.9304925473797714,32.0,143.32898831367493,,0.0,0.0,50,llada8b_fixed32_boolq_limit50_seed23.json
boolq,jys_middle16,jys_like_middle16,50,0.86,0.738135428014719,0.9304925473797714,16.0,70.95114541053772,,0.0,0.0,50,llada8b_jys_middle16_boolq_limit50_seed23.json
boolq,prophet,prophet_early_commit,50,0.86,0.738135428014719,0.9304925473797714,32.0,59.58334541320801,,0.0,0.0,50,llada8b_prophet_boolq_limit50_seed23.json
gsm8k,refinement,ours_refinement_controller,50,0.78,0.6475818431054045,0.8724621377569771,32.0,192.9150938987732,,0.0,0.0,50,llada8b_refinement_gsm8k_limit50_seed23.json
gsm8k,fixed32,fixed32_uniform,50,0.78,0.6475818431054045,0.8724621377569771,32.0,172.07386016845703,,0.0,0.0,50,llada8b_fixed32_gsm8k_limit50_seed23.json
gsm8k,jys_middle16,jys_like_middle16,50,0.64,0.5014076201030195,0.7586143703281711,16.0,96.17772936820984,,0.0,0.0,50,llada8b_jys_middle16_gsm8k_limit50_seed23.json
gsm8k,prophet,prophet_early_commit,50,0.64,0.5014076201030195,0.7586143703281711,15.84,94.73262000083923,,0.0,0.0,50,llada8b_prophet_gsm8k_limit50_seed23.json
drop_span,refinement,ours_refinement_controller,50,0.0,0,0.07135003417431873,32.0,320.08485221862793,,0.0,0.0,50,llada8b_refinement_drop_span_limit50_seed23.json
drop_span,fixed32,fixed32_uniform,50,0.0,0,0.07135003417431873,32.0,304.2268741130829,,0.0,0.0,50,llada8b_fixed32_drop_span_limit50_seed23.json
drop_span,jys_middle16,jys_like_middle16,50,0.0,0,0.07135003417431873,16.0,165.5035638809204,,0.0,0.0,50,llada8b_jys_middle16_drop_span_limit50_seed23.json
drop_span,prophet,prophet_early_commit,50,0.0,0,0.07135003417431873,31.44,234.38795733451843,,0.0,0.0,50,llada8b_prophet_drop_span_limit50_seed23.json
