method,task,n,accuracy,wilson_lo,wilson_hi,avg_forward_calls,route_rates,stop_rates,final_budget_rates
llada8b_fixed32_arc_challenge_limit50_seed23,arc_challenge,50,0.86,0.738135428014719,0.9304925473797714,32.0,{},{},{}
llada8b_jys_middle16_arc_challenge_limit50_seed23,arc_challenge,50,0.86,0.738135428014719,0.9304925473797714,16.0,{},{},{}
llada8b_prophet_arc_challenge_limit50_seed23,arc_challenge,50,0.86,0.738135428014719,0.9304925473797714,32.0,{},"{""max_steps"": 0.86, ""stable_label"": 0.14}",{}
llada8b_refinement_arc_challenge_limit50_seed23,arc_challenge,50,0.86,0.738135428014719,0.9304925473797714,33.0,"{""32"": 1.0}",{},"{""32"": 1.0}"
llada8b_fixed32_boolq_limit50_seed23,boolq,50,0.86,0.738135428014719,0.9304925473797714,32.0,{},{},{}
llada8b_jys_middle16_boolq_limit50_seed23,boolq,50,0.86,0.738135428014719,0.9304925473797714,16.0,{},{},{}
llada8b_prophet_boolq_limit50_seed23,boolq,50,0.86,0.738135428014719,0.9304925473797714,32.0,{},"{""max_steps"": 1.0}",{}
llada8b_refinement_boolq_limit50_seed23,boolq,50,0.84,0.7148551903823401,0.9166267863791231,11.08,"{""32"": 0.02, ""8"": 0.84, ""8->16"": 0.08, ""8->24"": 0.06}",{},"{""16"": 0.08, ""24"": 0.06, ""32"": 0.02, ""8"": 0.84}"
llada8b_fixed32_ceval_computer_network_limit50_seed23,ceval_computer_network,50,0.56,0.4230578680014353,0.6883801278976466,32.0,{},{},{}
llada8b_jys_middle16_ceval_computer_network_limit50_seed23,ceval_computer_network,50,0.56,0.4230578680014353,0.6883801278976466,16.0,{},{},{}
llada8b_prophet_ceval_computer_network_limit50_seed23,ceval_computer_network,50,0.56,0.4230578680014353,0.6883801278976466,32.0,{},"{""max_steps"": 0.94, ""stable_label"": 0.06}",{}
llada8b_refinement_ceval_computer_network_limit50_seed23,ceval_computer_network,50,0.56,0.4230578680014353,0.6883801278976466,33.0,"{""32"": 1.0}",{},"{""32"": 1.0}"
llada8b_fixed32_commonsenseqa_limit50_seed23,commonsenseqa,50,0.8,0.6696262789551477,0.8875637005402612,32.0,{},{},{}
llada8b_jys_middle16_commonsenseqa_limit50_seed23,commonsenseqa,50,0.8,0.6696262789551477,0.8875637005402612,16.0,{},{},{}
llada8b_prophet_commonsenseqa_limit50_seed23,commonsenseqa,50,0.8,0.6696262789551477,0.8875637005402612,32.0,{},"{""max_steps"": 0.82, ""stable_label"": 0.18}",{}
