task,task_name,step,n,accuracy,correct,seconds,peak_mem_gb,source
arc_challenge,ARC,2,100,0.830000,83,12.797487,15.683139,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps2_9task_limit100_seed23.json
arc_challenge,ARC,4,100,0.830000,83,19.163364,15.683139,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps4_9task_limit100_seed23.json
arc_challenge,ARC,6,100,0.830000,83,38.143697,15.683139,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps6_9task_limit100_seed23.json
arc_challenge,ARC,8,100,0.820000,82,51.266058,15.683139,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps8_9task_limit100_seed23.json
arc_challenge,ARC,10,100,0.820000,82,64.729128,15.683139,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps10_9task_limit100_seed23.json
arc_challenge,ARC,12,100,0.840000,84,77.204196,15.683139,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps12_9task_limit100_seed23.json
arc_challenge,ARC,14,100,0.840000,84,90.618867,15.683139,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps14_9task_limit100_seed23.json
arc_challenge,ARC,16,100,0.840000,84,102.454926,15.683139,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps16_9task_limit100_seed23.json
arc_challenge,ARC,18,100,0.850000,85,116.139715,15.683140,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps18_9task_limit100_seed23.json
arc_challenge,ARC,20,100,0.850000,85,128.693027,15.683140,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps20_9task_limit100_seed23.json
arc_challenge,ARC,22,100,0.850000,85,141.940946,15.683140,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps22_9task_limit100_seed23.json
arc_challenge,ARC,24,100,0.850000,85,154.566800,15.683140,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps24_9task_limit100_seed23.json
arc_challenge,ARC,32,100,0.850000,85,193.266669,15.683140,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps32_9task_limit100_seed23.json
arc_challenge,ARC,40,100,0.850000,85,250.838942,15.683140,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps40_9task_limit100_seed23.json
boolq,BoolQ,2,100,0.710000,71,18.739460,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps2_9task_limit100_seed23.json
boolq,BoolQ,4,100,0.730000,73,39.861147,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps4_9task_limit100_seed23.json
boolq,BoolQ,6,100,0.790000,79,56.486635,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps6_9task_limit100_seed23.json
boolq,BoolQ,8,100,0.810000,81,80.345114,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps8_9task_limit100_seed23.json
boolq,BoolQ,10,100,0.740000,74,94.057932,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps10_9task_limit100_seed23.json
boolq,BoolQ,12,100,0.830000,83,120.793828,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps12_9task_limit100_seed23.json
boolq,BoolQ,14,100,0.830000,83,132.229033,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps14_9task_limit100_seed23.json
boolq,BoolQ,16,100,0.830000,83,159.073775,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps16_9task_limit100_seed23.json
boolq,BoolQ,18,100,0.830000,83,169.473952,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps18_9task_limit100_seed23.json
boolq,BoolQ,20,100,0.850000,85,196.737333,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps20_9task_limit100_seed23.json
boolq,BoolQ,22,100,0.850000,85,207.329336,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps22_9task_limit100_seed23.json
boolq,BoolQ,24,100,0.850000,85,234.676718,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps24_9task_limit100_seed23.json
boolq,BoolQ,32,100,0.850000,85,307.641064,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps32_9task_limit100_seed23.json
boolq,BoolQ,40,100,0.850000,85,181.280944,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps40_9task_limit100_seed23.json
ceval_computer_network,C-Eval,2,100,0.600000,60,12.639767,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps2_9task_limit100_seed23.json
ceval_computer_network,C-Eval,4,100,0.540000,54,24.379835,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps4_9task_limit100_seed23.json
ceval_computer_network,C-Eval,6,100,0.610000,61,38.038896,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps6_9task_limit100_seed23.json
ceval_computer_network,C-Eval,8,100,0.550000,55,48.769049,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps8_9task_limit100_seed23.json
ceval_computer_network,C-Eval,10,100,0.540000,54,63.137126,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps10_9task_limit100_seed23.json
ceval_computer_network,C-Eval,12,100,0.570000,57,74.696691,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps12_9task_limit100_seed23.json
ceval_computer_network,C-Eval,14,100,0.570000,57,86.477933,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps14_9task_limit100_seed23.json
ceval_computer_network,C-Eval,16,100,0.570000,57,99.271931,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps16_9task_limit100_seed23.json
ceval_computer_network,C-Eval,18,100,0.580000,58,104.887039,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps18_9task_limit100_seed23.json
ceval_computer_network,C-Eval,20,100,0.580000,58,124.040120,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps20_9task_limit100_seed23.json
ceval_computer_network,C-Eval,22,100,0.580000,58,129.120832,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps22_9task_limit100_seed23.json
ceval_computer_network,C-Eval,24,100,0.580000,58,148.700480,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps24_9task_limit100_seed23.json
ceval_computer_network,C-Eval,32,100,0.580000,58,202.352814,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps32_9task_limit100_seed23.json
ceval_computer_network,C-Eval,40,100,0.580000,58,234.660214,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps40_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,2,100,0.820000,82,12.097399,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps2_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,4,100,0.810000,81,10.456473,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps4_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,6,100,0.800000,80,36.196452,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps6_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,8,100,0.820000,82,42.673591,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps8_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,10,100,0.800000,80,60.283283,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps10_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,12,100,0.800000,80,72.127465,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps12_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,14,100,0.800000,80,84.405576,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps14_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,16,100,0.800000,80,95.778286,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps16_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,18,100,0.800000,80,108.101427,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps18_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,20,100,0.800000,80,119.379146,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps20_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,22,100,0.800000,80,131.946126,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps22_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,24,100,0.800000,80,143.258045,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps24_9task_limit100_seed23.json
commonsenseqa,CommonsenseQA,32,100,0.800000,80,180.802510,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps32_9task_limit100_seed23.json
