task,step,n,accuracy,correct,avg_forward_calls,seconds,wall_seconds,empty_rate,invalid_rate,gen_length,block_length,schedule
mmlu_pro,4,20,0.45,9,4.0,5.89611029624939,5.933676481246948,0.0,0.0,32,32,uniform
mmlu_pro,8,20,0.45,9,8.0,10.931288719177246,10.955825328826904,0.0,0.0,32,32,uniform
mmlu_pro,12,20,0.4,8,12.0,16.38395643234253,16.408824682235718,0.0,0.0,32,32,uniform
mmlu_pro,16,20,0.4,8,16.0,22.05161476135254,22.077840566635132,0.0,0.0,32,32,uniform
mmlu_pro,20,20,0.4,8,20.0,27.599867582321167,27.625141382217407,0.0,0.0,32,32,uniform
mmlu_pro,24,20,0.4,8,24.0,33.21256351470947,33.23891735076904,0.0,0.0,32,32,uniform
mmlu_pro,28,20,0.4,8,28.0,38.80780291557312,38.83564901351929,0.0,0.0,32,32,uniform
mmlu_pro,32,20,0.4,8,32.0,44.37586283683777,44.40257501602173,0.0,0.0,32,32,uniform
pubmedqa,4,20,0.3,6,4.0,5.9605348110198975,5.991643905639648,0.5,0.0,32,32,uniform
pubmedqa,8,20,0.6,12,8.0,11.941665410995483,11.97260332107544,0.0,0.0,32,32,uniform
pubmedqa,12,20,0.65,13,12.0,17.929514408111572,17.95842933654785,0.0,0.0,32,32,uniform
pubmedqa,16,20,0.65,13,16.0,23.920883178710938,23.950566053390503,0.0,0.0,32,32,uniform
pubmedqa,20,20,0.65,13,20.0,29.899922370910645,29.931227684020996,0.0,0.0,32,32,uniform
pubmedqa,24,20,0.65,13,24.0,35.85350584983826,35.88392782211304,0.0,0.0,32,32,uniform
pubmedqa,28,20,0.65,13,28.0,41.79594302177429,41.82636117935181,0.0,0.0,32,32,uniform
pubmedqa,32,20,0.65,13,32.0,47.70928382873535,47.738075494766235,0.0,0.0,32,32,uniform
ceval_computer_network,4,20,0.5,10,4.0,2.139108419418335,2.1566686630249023,0.1,0.0,32,32,uniform
ceval_computer_network,8,20,0.55,11,8.0,4.240804433822632,4.256979942321777,0.0,0.0,32,32,uniform
ceval_computer_network,12,20,0.5,10,12.0,6.365898370742798,6.38239860534668,0.0,0.0,32,32,uniform
ceval_computer_network,16,20,0.5,10,16.0,8.493716955184937,8.50993275642395,0.0,0.0,32,32,uniform
ceval_computer_network,20,20,0.6,12,20.0,10.623483419418335,10.639766216278076,0.0,0.0,32,32,uniform
ceval_computer_network,24,20,0.6,12,24.0,12.76752495765686,12.787501096725464,0.0,0.0,32,32,uniform
ceval_computer_network,28,20,0.6,12,28.0,14.887338638305664,14.906090497970581,0.0,0.0,32,32,uniform
ceval_computer_network,32,20,0.6,12,32.0,17.002548456192017,17.018966913223267,0.0,0.0,32,32,uniform
sciq,4,20,0.95,19,4.0,1.632786750793457,1.6463897228240967,0.0,0.0,32,32,uniform
sciq,8,20,0.9,18,8.0,3.2281668186187744,3.2424190044403076,0.0,0.0,32,32,uniform
sciq,12,20,0.9,18,12.0,4.85547947883606,4.8716089725494385,0.0,0.0,32,32,uniform
sciq,16,20,0.9,18,16.0,6.467774868011475,6.482428789138794,0.0,0.0,32,32,uniform
sciq,20,20,0.9,18,20.0,8.088205814361572,8.104314088821411,0.0,0.0,32,32,uniform
sciq,24,20,0.9,18,24.0,9.717752695083618,9.731192350387573,0.0,0.0,32,32,uniform
sciq,28,20,0.9,18,28.0,11.338111877441406,11.351029396057129,0.0,0.0,32,32,uniform
sciq,32,20,0.9,18,32.0,12.951698064804077,12.965502977371216,0.0,0.0,32,32,uniform
winogrande,4,20,0.7,14,4.0,1.6050407886505127,1.6190407276153564,0.0,0.0,32,32,uniform
winogrande,8,20,0.75,15,8.0,3.1620895862579346,3.1754612922668457,0.0,0.0,32,32,uniform
winogrande,12,20,0.75,15,12.0,4.754712343215942,4.768108129501343,0.0,0.0,32,32,uniform
winogrande,16,20,0.75,15,16.0,6.345574855804443,6.3601109981536865,0.0,0.0,32,32,uniform
