method,task,n,accuracy,avg_forward_calls,route_rates,source,note
risk_gated_default,winogrande,20,0.8,14.2,"{""32"": 0.05, ""8"": 0.55, ""8->16"": 0.3, ""8->24"": 0.1}",results/domain_shift/task_aware/solid_v2/structured_v2/raw/llada8b_threshold_refinement_wino_cqa_limit20_seed23.json,20-sample selection; default low-confidence remask
risk_gated_default,commonsenseqa,20,0.85,9.05,"{""8"": 0.85, ""8->16"": 0.15}",results/domain_shift/task_aware/solid_v2/structured_v2/raw/llada8b_threshold_refinement_wino_cqa_limit20_seed23.json,20-sample selection; default low-confidence remask
gentle_remask,winogrande,20,0.8,14.2,"{""32"": 0.05, ""8"": 0.55, ""8->16"": 0.3, ""8->24"": 0.1}",results/domain_shift/task_aware/solid_v2/structured_v2/raw/llada8b_threshold_gentle_remask_wino_cqa_limit20_seed23.json,20-sample selection; gentle remask fraction
gentle_remask,commonsenseqa,20,0.85,8.9,"{""8"": 0.85, ""8->16"": 0.15}",results/domain_shift/task_aware/solid_v2/structured_v2/raw/llada8b_threshold_gentle_remask_wino_cqa_limit20_seed23.json,20-sample selection; gentle remask fraction
answer_consistency_remask,winogrande,20,0.8,14.2,"{""32"": 0.05, ""8"": 0.55, ""8->16"": 0.3, ""8->24"": 0.1}",results/domain_shift/task_aware/solid_v2/structured_v3/raw/llada8b_answer_consistency_remask_wino_cqa_limit20_seed23.json,20-sample ablation; answer-consistency protect/repair remask
answer_consistency_remask,commonsenseqa,20,0.85,8.9,"{""8"": 0.85, ""8->16"": 0.15}",results/domain_shift/task_aware/solid_v2/structured_v3/raw/llada8b_answer_consistency_remask_wino_cqa_limit20_seed23.json,20-sample ablation; answer-consistency protect/repair remask
probe_direct_threshold_limit100,winogrande,100,0.74,10.87,"{""0"": 0.38, ""32"": 0.04, ""8"": 0.21, ""8->16"": 0.24, ""8->24"": 0.12, ""8->32"": 0.01}",results/domain_shift/task_aware/solid_v2/structured_v4/raw/llada8b_probe_direct_risk_gated_wino_cqa_limit100_seed23.json,100-sample validation; threshold posterior shortcut + risk-gated remask
probe_direct_threshold_limit100,commonsenseqa,100,0.8,5.23,"{""0"": 0.67, ""32"": 0.02, ""8"": 0.09, ""8->16"": 0.2, ""8->24"": 0.02}",results/domain_shift/task_aware/solid_v2/structured_v4/raw/llada8b_probe_direct_risk_gated_wino_cqa_limit100_seed23.json,100-sample validation; threshold posterior shortcut + risk-gated remask
value_refinement_controller_limit100,winogrande,100,0.74,9.43,"{""0"": 0.54, ""32"": 0.04, ""8"": 0.06, ""8->16"": 0.24, ""8->24"": 0.11, ""8->32"": 0.01}",results/domain_shift/task_aware/solid_v2/structured_v5/raw/llada8b_value_controller_wino_cqa_limit100_seed23.json,100-sample validation; value-of-refinement posterior shortcut + risk-gated remask
value_refinement_controller_limit100,commonsenseqa,100,0.8,5.3,"{""0"": 0.66, ""32"": 0.02, ""8"": 0.1, ""8->16"": 0.2, ""8->24"": 0.02}",results/domain_shift/task_aware/solid_v2/structured_v5/raw/llada8b_value_controller_wino_cqa_limit100_seed23.json,100-sample validation; value-of-refinement posterior shortcut + risk-gated remask
aggressive_remask,winogrande,20,0.8,14.2,"{""32"": 0.05, ""8"": 0.55, ""8->16"": 0.3, ""8->24"": 0.1}",results/domain_shift/task_aware/solid_v2/structured_v2/raw/llada8b_threshold_aggressive_remask_wino_cqa_limit20_seed23.json,20-sample selection; aggressive remask fraction
aggressive_remask,commonsenseqa,20,0.85,9.05,"{""8"": 0.85, ""8->16"": 0.15}",results/domain_shift/task_aware/solid_v2/structured_v2/raw/llada8b_threshold_aggressive_remask_wino_cqa_limit20_seed23.json,20-sample selection; aggressive remask fraction
online4,winogrande,20,0.7,18.5,"{""32"": 0.05, ""4->8"": 0.65, ""4->8->12"": 0.1, ""4->8->12->16->20"": 0.05, ""4->8->12->16->20->24->28->32"": 0.1, ""4->8->12->16->32"": 0.05}",results/domain_shift/task_aware/solid_v2/structured_v2/raw/llada8b_online4_controller_v4_wino_cqa_limit20_seed23.json,negative ablation; 4-step online
online4,commonsenseqa,20,0.85,11.0,"{""4->8"": 1.0}",results/domain_shift/task_aware/solid_v2/structured_v2/raw/llada8b_online4_controller_v4_wino_cqa_limit20_seed23.json,negative ablation; 4-step online
