confidence,margin,task,n,coverage,direct_accuracy,sim_accuracy,sim_avg_forward_calls
0.7,0.2,winogrande,1000,0.662,0.8081570996978852,0.757,11.816
0.7,0.2,commonsenseqa,1000,0.808,0.8935643564356436,0.821,2.568
0.75,0.3,winogrande,1000,0.55,0.8218181818181818,0.756,12.84
0.75,0.3,commonsenseqa,1000,0.776,0.9059278350515464,0.821,2.824
0.8,0.4,winogrande,1000,0.436,0.8555045871559633,0.756,13.976
0.8,0.4,commonsenseqa,1000,0.735,0.9170068027210885,0.82,3.152
0.85,0.5,winogrande,1000,0.344,0.8866279069767442,0.756,14.744
0.85,0.5,commonsenseqa,1000,0.693,0.935064935064935,0.819,3.488
0.9,0.6,winogrande,1000,0.215,0.9348837209302325,0.756,15.808
0.9,0.6,commonsenseqa,1000,0.646,0.9411764705882353,0.819,3.864
0.95,0.75,winogrande,1000,0.114,0.9385964912280702,0.756,16.616
0.95,0.75,commonsenseqa,1000,0.566,0.9558303886925795,0.818,4.504
