comparison,left_method,right_method,task,task_label,bucket,count,rate,n_intersection,right_route_counts
full_budget_vs_controller,32step,calibrated,winogrande,WinoGrande,32step_only,3,0.003,1000,"{""8"": 3}"
full_budget_vs_controller,32step,calibrated,winogrande,WinoGrande,both_correct,753,0.753,1000,"{""32"": 222, ""8"": 521, ""8->32"": 10}"
full_budget_vs_controller,32step,calibrated,winogrande,WinoGrande,both_wrong,241,0.241,1000,"{""32"": 116, ""8"": 121, ""8->32"": 4}"
full_budget_vs_controller,32step,calibrated,winogrande,WinoGrande,calibrated_only,3,0.003,1000,"{""8"": 3}"
full_budget_vs_controller,32step,calibrated,commonsenseqa,CommonsenseQA,32step_only,8,0.008,1000,"{""8"": 8}"
full_budget_vs_controller,32step,calibrated,commonsenseqa,CommonsenseQA,both_correct,811,0.811,1000,"{""8"": 809, ""8->32"": 2}"
full_budget_vs_controller,32step,calibrated,commonsenseqa,CommonsenseQA,both_wrong,175,0.175,1000,"{""8"": 175}"
full_budget_vs_controller,32step,calibrated,commonsenseqa,CommonsenseQA,calibrated_only,6,0.006,1000,"{""8"": 6}"
old_router_vs_controller,old_adaptive,calibrated,winogrande,WinoGrande,both_correct,711,0.711,1000,"{""32"": 182, ""8"": 524, ""8->32"": 5}"
old_router_vs_controller,old_adaptive,calibrated,winogrande,WinoGrande,both_wrong,219,0.219,1000,"{""32"": 92, ""8"": 124, ""8->32"": 3}"
old_router_vs_controller,old_adaptive,calibrated,winogrande,WinoGrande,calibrated_only,45,0.045,1000,"{""32"": 40, ""8->32"": 5}"
old_router_vs_controller,old_adaptive,calibrated,winogrande,WinoGrande,old_adaptive_only,25,0.025,1000,"{""32"": 24, ""8->32"": 1}"
old_router_vs_controller,old_adaptive,calibrated,commonsenseqa,CommonsenseQA,both_correct,816,0.816,1000,"{""8"": 814, ""8->32"": 2}"
old_router_vs_controller,old_adaptive,calibrated,commonsenseqa,CommonsenseQA,both_wrong,183,0.183,1000,"{""8"": 183}"
old_router_vs_controller,old_adaptive,calibrated,commonsenseqa,CommonsenseQA,calibrated_only,1,0.001,1000,"{""8"": 1}"
uncalibrated_vs_calibrated,forward_aware,calibrated,winogrande,WinoGrande,both_correct,756,0.756,1000,"{""32"": 222, ""8"": 524, ""8->32"": 10}"
uncalibrated_vs_calibrated,forward_aware,calibrated,winogrande,WinoGrande,both_wrong,244,0.244,1000,"{""32"": 116, ""8"": 124, ""8->32"": 4}"
uncalibrated_vs_calibrated,forward_aware,calibrated,commonsenseqa,CommonsenseQA,both_correct,814,0.814,1000,"{""8"": 812, ""8->32"": 2}"
uncalibrated_vs_calibrated,forward_aware,calibrated,commonsenseqa,CommonsenseQA,both_wrong,179,0.179,1000,"{""8"": 179}"
uncalibrated_vs_calibrated,forward_aware,calibrated,commonsenseqa,CommonsenseQA,calibrated_only,3,0.003,1000,"{""8"": 3}"
uncalibrated_vs_calibrated,forward_aware,calibrated,commonsenseqa,CommonsenseQA,forward_aware_only,4,0.004,1000,"{""8"": 4}"
