method,task,task_label,accuracy,n,correct,wilson_lo,wilson_hi,avg_forward_calls,seconds,fallback_rate,route_rates,peak_mem_gb
llada_base,mmlu_pro,MMLU-Pro,0.44,100,44,0.34671865400968327,0.537720722887437,,220.87563943862915,,"{""fixed"": 1.0}",15.510612964630127
llada_base,pubmedqa,PubMedQA,0.72,100,72,0.6251178763865427,0.7986044083240164,,292.47663950920105,,"{""fixed"": 1.0}",15.430640697479248
llada_base,ceval_computer_network,C-Eval CN,0.56,100,56,0.4622792771125631,0.6532813459903167,,156.57572650909424,,"{""fixed"": 1.0}",15.149188995361328
llada_base,sciq,SciQ,0.88,100,88,0.8018773199709163,0.9300066263473222,,155.21237778663635,,"{""fixed"": 1.0}",15.092800617218018
llada_base,winogrande,WinoGrande,0.78,100,78,0.6892946528499969,0.849988254963442,,154.6829206943512,,"{""fixed"": 1.0}",15.06203842163086
llada_base,commonsenseqa,CommonsenseQA,0.79,100,79,0.7001985069803768,0.8583445046835422,,155.19427633285522,,"{""fixed"": 1.0}",15.077038764953613
llada_lora,mmlu_pro,MMLU-Pro,0.44,100,44,0.34671865400968327,0.537720722887437,,241.01015377044678,,"{""fixed"": 1.0}",15.549675464630127
llada_lora,pubmedqa,PubMedQA,0.72,100,72,0.6251178763865427,0.7986044083240164,,319.61200404167175,,"{""fixed"": 1.0}",15.469703197479248
llada_lora,ceval_computer_network,C-Eval CN,0.54,100,54,0.44264685393523856,0.6343935614666815,,170.19722867012024,,"{""fixed"": 1.0}",15.189214706420898
llada_lora,sciq,SciQ,0.88,100,88,0.8018773199709163,0.9300066263473222,,168.38918590545654,,"{""fixed"": 1.0}",15.131863117218018
llada_lora,winogrande,WinoGrande,0.78,100,78,0.6892946528499969,0.849988254963442,,167.922376871109,,"{""fixed"": 1.0}",15.10110092163086
llada_lora,commonsenseqa,CommonsenseQA,0.8,100,80,0.7111690380734977,0.8666340774409013,,168.06602215766907,,"{""fixed"": 1.0}",15.116101264953613
qwen_base,mmlu_pro,MMLU-Pro,0.35,100,35,0.2636410465347802,0.4474573957080203,,7.912535667419434,,"{""fixed"": 1.0}",14.778038024902344
qwen_base,pubmedqa,PubMedQA,0.57,100,57,0.4721521169586435,0.6626686099947162,,8.950823545455933,,"{""fixed"": 1.0}",14.704440116882324
qwen_base,ceval_computer_network,C-Eval CN,0.73,100,73,0.6356769977376873,0.8073053908233518,,4.396214723587036,,"{""fixed"": 1.0}",14.403094291687012
qwen_base,sciq,SciQ,0.93,100,93,0.8625032899347026,0.9656811756359359,,3.5513358116149902,,"{""fixed"": 1.0}",14.339401721954346
qwen_base,winogrande,WinoGrande,0.7,100,70,0.6041496156718804,0.7810524613377188,,3.4751250743865967,,"{""fixed"": 1.0}",14.3042631149292
qwen_base,commonsenseqa,CommonsenseQA,0.8,100,80,0.7111690380734977,0.8666340774409013,,3.3649942874908447,,"{""fixed"": 1.0}",14.321446418762207
qwen_lora,mmlu_pro,MMLU-Pro,0.39,100,39,0.300167219319702,0.48797163832501844,,26.700956106185913,,"{""fixed"": 1.0}",14.482266426086426
qwen_lora,pubmedqa,PubMedQA,0.85,100,85,0.7671626666784216,0.906940968088377,,29.085200786590576,,"{""fixed"": 1.0}",14.49143934249878
qwen_lora,ceval_computer_network,C-Eval CN,0.74,100,74,0.6462882736813838,0.8159542187301354,,24.883658409118652,,"{""fixed"": 1.0}",14.347671031951904
qwen_lora,sciq,SciQ,0.98,100,98,0.9299868370580063,0.9944981477650318,,23.919203758239746,,"{""fixed"": 1.0}",14.325790405273438
qwen_lora,winogrande,WinoGrande,0.68,100,68,0.5833719774632081,0.7633098918454312,,24.148308038711548,,"{""fixed"": 1.0}",14.317550659179688
qwen_lora,commonsenseqa,CommonsenseQA,0.86,100,86,0.7786263961619276,0.914737342455351,,24.560890674591064,,"{""fixed"": 1.0}",14.324993133544922
ddm_lora_gain,ceval_computer_network,C-Eval CN,-0.020000000000000018,100,,,,,,,,
ddm_lora_gain,commonsenseqa,CommonsenseQA,0.010000000000000009,100,,,,,,,,
ddm_lora_gain,mmlu_pro,MMLU-Pro,0.0,100,,,,,,,,
ddm_lora_gain,pubmedqa,PubMedQA,0.0,100,,,,,,,,
ddm_lora_gain,sciq,SciQ,0.0,100,,,,,,,,
ddm_lora_gain,winogrande,WinoGrande,0.0,100,,,,,,,,
ar_lora_gain,ceval_computer_network,C-Eval CN,0.010000000000000009,100,,,,,,,,
ar_lora_gain,commonsenseqa,CommonsenseQA,0.05999999999999994,100,,,,,,,,
ar_lora_gain,mmlu_pro,MMLU-Pro,0.040000000000000036,100,,,,,,,,
ar_lora_gain,pubmedqa,PubMedQA,0.28,100,,,,,,,,
ar_lora_gain,sciq,SciQ,0.04999999999999993,100,,,,,,,,
ar_lora_gain,winogrande,WinoGrande,-0.019999999999999907,100,,,,,,,,
