task,step,n_trace,valid_rate,accuracy_invalid_as_wrong,accuracy_among_valid,empty_rate
commonsenseqa,1,200,0.0,0.0,,1.0
commonsenseqa,2,200,0.0,0.0,,1.0
commonsenseqa,4,200,0.0,0.0,,1.0
commonsenseqa,6,200,0.995,0.26,0.2613065326633166,0.005
commonsenseqa,8,200,1.0,0.815,0.815,0.0
winogrande,1,200,0.0,0.0,,1.0
winogrande,2,200,0.0,0.0,,1.0
winogrande,4,200,0.0,0.0,,1.0
winogrande,6,200,0.0,0.0,,1.0
winogrande,8,200,0.67,0.54,0.8059701492537313,0.33
winogrande,10,66,0.0,0.0,,1.0
winogrande,12,66,0.0,0.0,,1.0
winogrande,14,66,0.0,0.0,,1.0
winogrande,16,66,0.0,0.0,,1.0
winogrande,18,66,0.0,0.0,,1.0
winogrande,20,66,0.0,0.0,,1.0
winogrande,22,66,0.0,0.0,,1.0
winogrande,24,66,0.0,0.0,,1.0
winogrande,26,66,0.0,0.0,,1.0
winogrande,28,66,0.7121212121212122,0.015151515151515152,0.02127659574468085,0.2878787878787879
winogrande,30,66,1.0,0.0,0.0,0.0
winogrande,32,66,1.0,0.6363636363636364,0.6363636363636364,0.0
