method,task,task_label,accuracy,n,correct,wilson_lo,wilson_hi,avg_forward_calls,seconds,fallback_rate,route_rates,peak_mem_gb,threshold
calibrated_t060,winogrande,WinoGrande,0.754,500,377,0.7144070676180768,0.7897196261682243,15.704,379.5850999355316,,"{""32"": 0.194, ""8"": 0.742, ""8->32"": 0.064}",15.026233196258545,0.6
calibrated_t060,commonsenseqa,CommonsenseQA,0.812,500,406,0.7754216622802987,0.8438205757564177,9.0,218.0367293357849,,"{""8"": 1.0}",15.037663459777832,0.6
calibrated_t065,winogrande,WinoGrande,0.756,500,378,0.7164944353121212,0.7916017600000562,16.456,397.9714865684509,,"{""32"": 0.268, ""8"": 0.7, ""8->32"": 0.032}",15.026233196258545,0.65
calibrated_t065,commonsenseqa,CommonsenseQA,0.812,500,406,0.7754216622802987,0.8438205757564177,9.0,218.1314558982849,,"{""8"": 1.0}",15.037663459777832,0.65
calibrated_t070,winogrande,WinoGrande,0.756,500,378,0.7164944353121212,0.7916017600000562,17.768,429.36284351348877,,"{""32"": 0.344, ""8"": 0.64, ""8->32"": 0.016}",15.026233196258545,0.7
calibrated_t070,commonsenseqa,CommonsenseQA,0.812,500,406,0.7754216622802987,0.8438205757564177,9.0,217.93924593925476,,"{""8"": 1.0}",15.037663459777832,0.7
calibrated_t075,winogrande,WinoGrande,0.756,500,378,0.7164944353121212,0.7916017600000562,20.568,497.1301829814911,,"{""32"": 0.466, ""8"": 0.522, ""8->32"": 0.012}",15.026233196258545,0.75
calibrated_t075,commonsenseqa,CommonsenseQA,0.812,500,406,0.7754216622802987,0.8438205757564177,9.0,218.1624436378479,,"{""8"": 1.0}",15.037663459777832,0.75
calibrated_t080,winogrande,WinoGrande,0.756,500,378,0.7164944353121212,0.7916017600000562,22.936,553.9708621501923,,"{""32"": 0.578, ""8"": 0.42, ""8->32"": 0.002}",15.026233196258545,0.8
calibrated_t080,commonsenseqa,CommonsenseQA,0.812,500,406,0.7754216622802987,0.8438205757564177,9.0,217.9870114326477,,"{""8"": 1.0}",15.037663459777832,0.8
