task,id,correct,route,first_valid_step,first_final_step,flip_count,late_instability,max_step
winogrande,593,False,8,8,8,0,0,8
winogrande,171,True,32,32,32,0,0,32
winogrande,34,True,32,32,32,0,0,32
winogrande,1212,True,32,32,32,0,0,32
winogrande,628,False,8,8,8,0,0,8
winogrande,867,True,32,32,32,0,0,32
winogrande,776,True,8,8,8,0,0,8
winogrande,1085,False,32,32,32,0,0,32
winogrande,733,True,8,8,8,0,0,8
winogrande,266,True,8,8,8,0,0,8
winogrande,393,True,32,32,32,0,0,32
winogrande,547,True,32,32,32,0,0,32
winogrande,910,False,8,8,8,0,0,8
winogrande,28,True,8,8,8,0,0,8
winogrande,452,True,8,8,8,0,0,8
winogrande,931,True,8,8,8,0,0,8
winogrande,50,True,32,32,32,0,0,32
winogrande,216,True,32,32,32,0,0,32
winogrande,175,True,8,8,8,0,0,8
winogrande,1020,True,32,32,32,0,0,32
winogrande,862,True,32,32,32,0,0,32
winogrande,40,True,8,8,8,0,0,8
winogrande,1049,False,8,8,8,0,0,8
winogrande,883,True,32,32,32,0,0,32
winogrande,735,True,32,32,32,0,0,32
winogrande,117,True,8,8,8,0,0,8
winogrande,421,False,8,8,8,0,0,8
winogrande,72,True,32,32,32,0,0,32
winogrande,1206,True,8,8,8,0,0,8
winogrande,755,True,8,8,8,0,0,8
winogrande,352,True,32,32,32,0,0,32
winogrande,442,False,32,32,32,0,0,32
winogrande,742,False,8,8,8,0,0,8
winogrande,1158,True,8,8,8,0,0,8
winogrande,1237,True,8,8,8,0,0,8
winogrande,1171,True,8,8,8,0,0,8
winogrande,576,True,8,8,8,0,0,8
winogrande,643,False,8,8,8,0,0,8
winogrande,1173,True,8,8,8,0,0,8
winogrande,1248,True,32,32,32,0,0,32
winogrande,970,True,8,8,8,0,0,8
winogrande,363,True,32,32,32,0,0,32
winogrande,989,True,32,32,32,0,0,32
winogrande,1209,True,8,8,8,0,0,8
winogrande,916,True,8,8,8,0,0,8
winogrande,335,True,8,8,8,0,0,8
winogrande,372,True,8,8,8,0,0,8
winogrande,365,True,8,8,8,0,0,8
winogrande,1092,False,32,32,32,0,0,32
winogrande,662,False,32,32,32,0,0,32
winogrande,1065,True,8,8,8,0,0,8
winogrande,400,True,32,32,32,0,0,32
winogrande,1192,True,8,8,8,0,0,8
winogrande,234,True,8,8,8,0,0,8
winogrande,168,True,8,8,8,0,0,8
winogrande,201,True,8,8,8,0,0,8
winogrande,872,False,32,32,32,0,0,32
winogrande,79,True,32,32,32,0,0,32
winogrande,1163,False,8->32,8,32,1,1,32
winogrande,564,False,8,8,8,0,0,8
winogrande,1228,True,8,8,8,0,0,8
winogrande,574,False,32,32,32,0,0,32
winogrande,677,True,32,32,32,0,0,32
winogrande,223,True,8,8,8,0,0,8
winogrande,757,False,32,32,32,0,0,32
winogrande,590,True,8,8,8,0,0,8
winogrande,1110,True,8,8,8,0,0,8
winogrande,624,True,32,32,32,0,0,32
winogrande,1251,False,8,8,8,0,0,8
winogrande,1124,False,8,8,8,0,0,8
winogrande,447,True,8->32,8,32,1,1,32
winogrande,529,True,8->32,8,32,1,1,32
winogrande,306,True,32,32,32,0,0,32
winogrande,219,True,32,32,32,0,0,32
winogrande,244,False,32,32,32,0,0,32
winogrande,1009,True,8,8,8,0,0,8
winogrande,487,True,32,32,32,0,0,32
winogrande,672,True,8,8,8,0,0,8
winogrande,1117,False,8,8,8,0,0,8
winogrande,291,True,8,8,8,0,0,8
winogrande,205,False,8,8,8,0,0,8
winogrande,784,True,8,8,8,0,0,8
winogrande,342,True,8,8,8,0,0,8
winogrande,920,True,8,8,8,0,0,8
winogrande,69,True,8,8,8,0,0,8
winogrande,114,True,8,8,8,0,0,8
winogrande,852,True,8,8,8,0,0,8
winogrande,805,True,8,8,8,0,0,8
winogrande,47,True,8,8,8,0,0,8
winogrande,332,False,32,32,32,0,0,32
winogrande,462,True,8,8,8,0,0,8
winogrande,26,False,32,32,32,0,0,32
winogrande,455,False,32,32,32,0,0,32
winogrande,116,True,8,8,8,0,0,8
winogrande,1103,True,32,32,32,0,0,32
winogrande,911,True,8,8,8,0,0,8
winogrande,190,True,32,32,32,0,0,32
winogrande,708,True,32,32,32,0,0,32
winogrande,32,True,8,8,8,0,0,8
winogrande,772,True,32,32,32,0,0,32
winogrande,1004,False,8,8,8,0,0,8
winogrande,395,True,8,8,8,0,0,8
winogrande,75,True,8,8,8,0,0,8
winogrande,155,True,8,8,8,0,0,8
winogrande,541,True,8,8,8,0,0,8
winogrande,954,False,8,8,8,0,0,8
winogrande,1122,True,8,8,8,0,0,8
winogrande,402,True,32,32,32,0,0,32
winogrande,940,True,8,8,8,0,0,8
winogrande,605,True,8,8,8,0,0,8
winogrande,1235,False,32,32,32,0,0,32
winogrande,187,True,8,8,8,0,0,8
winogrande,211,False,32,32,32,0,0,32
winogrande,1139,True,8,8,8,0,0,8
winogrande,1083,True,8,8,8,0,0,8
winogrande,347,True,8,8,8,0,0,8
winogrande,1113,True,8,8,8,0,0,8
winogrande,1142,True,8,8,8,0,0,8
winogrande,488,True,8,8,8,0,0,8
winogrande,518,True,8,8,8,0,0,8
winogrande,204,True,8,8,8,0,0,8
winogrande,863,True,32,32,32,0,0,32
winogrande,337,False,32,32,32,0,0,32
winogrande,24,True,8,8,8,0,0,8
winogrande,1254,True,8,8,8,0,0,8
winogrande,702,True,8,8,8,0,0,8
winogrande,848,True,8,8,8,0,0,8
winogrande,338,True,8,8,8,0,0,8
winogrande,845,True,8,8,8,0,0,8
winogrande,142,True,8,8,8,0,0,8
winogrande,1148,True,8,8,8,0,0,8
winogrande,1188,True,8,8,8,0,0,8
winogrande,604,False,8,8,8,0,0,8
