task,method,n,accuracy,avg_forward_calls,seconds,route_or_stop_rate,invalid_rate,blank_rate
mmlu_pro,ours_v3plus,50,0.4,18.46,42.54300045967102,"{""32"": 0.08, ""8"": 0.2, ""8->16"": 0.26, ""8->24"": 0.3, ""8->32"": 0.16}",,
mmlu_pro,ours_v3plus_aggressive_pubmed,50,0.4,18.46,42.54300045967102,"{""32"": 0.08, ""8"": 0.2, ""8->16"": 0.26, ""8->24"": 0.3, ""8->32"": 0.16}",,
mmlu_pro,refinement,50,0.4,32.64,291.78210973739624,,0.0,0.0
mmlu_pro,fixed32,50,0.4,32.0,272.06379675865173,,0.0,0.0
mmlu_pro,jys_middle16,50,0.4,16.0,142.7869393825531,,0.0,0.0
mmlu_pro,prophet,50,0.4,31.6,265.32665514945984,,0.0,0.0
pubmedqa,ours_v3plus,50,0.64,32.0,88.59071707725525,"{""32"": 1.0}",,
pubmedqa,ours_v3plus_aggressive_pubmed,50,0.62,17.74,50.462114334106445,"{""32"": 0.1, ""8"": 0.28, ""8->16"": 0.22, ""8->24"": 0.28, ""8->32"": 0.12}",,
pubmedqa,refinement,50,0.64,33.0,368.4811851978302,,0.0,0.0
pubmedqa,fixed32,50,0.62,32.0,307.37416672706604,,0.0,0.0
pubmedqa,jys_middle16,50,0.62,16.0,168.37912511825562,,0.02,0.02
pubmedqa,prophet,50,0.64,32.0,344.2489233016968,,0.0,0.0
ceval_computer_network,ours_v3plus,50,0.56,14.92,25.90236186981201,"{""8"": 0.34, ""8->16"": 0.32, ""8->24"": 0.34}",,
ceval_computer_network,ours_v3plus_aggressive_pubmed,50,0.56,14.92,25.90236186981201,"{""8"": 0.34, ""8->16"": 0.32, ""8->24"": 0.34}",,
ceval_computer_network,refinement,50,0.56,33.0,192.95265579223633,,0.0,0.0
ceval_computer_network,fixed32,50,0.56,32.0,144.64834141731262,,0.0,0.0
ceval_computer_network,jys_middle16,50,0.56,16.0,77.19801878929138,,0.0,0.0
ceval_computer_network,prophet,50,0.56,32.0,143.4063844680786,,0.0,0.0
sciq,ours_v3plus,50,0.86,9.52,16.574699878692627,"{""8"": 0.82, ""8->16"": 0.14, ""8->24"": 0.04}",,
sciq,ours_v3plus_aggressive_pubmed,50,0.86,9.52,16.574699878692627,"{""8"": 0.82, ""8->16"": 0.14, ""8->24"": 0.04}",,
sciq,refinement,50,0.86,33.0,155.40210223197937,,0.0,0.0
sciq,fixed32,50,0.86,32.0,143.49679374694824,,0.0,0.0
sciq,jys_middle16,50,0.86,16.0,85.28364276885986,,0.0,0.0
sciq,prophet,50,0.86,32.0,66.2256212234497,,0.0,0.0
winogrande,ours_v3plus,50,0.76,13.32,23.06346035003662,"{""32"": 0.04, ""8"": 0.62, ""8->16"": 0.26, ""8->24"": 0.08}",,
winogrande,ours_v3plus_aggressive_pubmed,50,0.76,13.32,23.06346035003662,"{""32"": 0.04, ""8"": 0.62, ""8->16"": 0.26, ""8->24"": 0.08}",,
winogrande,refinement,50,0.76,13.32,23.96767807006836,,0.0,0.0
winogrande,fixed32,50,0.76,32.0,75.7616937160492,,0.0,0.0
winogrande,jys_middle16,50,0.74,16.0,45.661134004592896,,0.04,0.04
winogrande,prophet,50,0.76,32.0,115.86836910247803,,0.0,0.0
commonsenseqa,ours_v3plus,50,0.8,9.82,17.144227027893066,"{""8"": 0.78, ""8->16"": 0.18, ""8->24"": 0.04}",,
commonsenseqa,ours_v3plus_aggressive_pubmed,50,0.8,9.82,17.144227027893066,"{""8"": 0.78, ""8->16"": 0.18, ""8->24"": 0.04}",,
commonsenseqa,refinement,50,0.8,10.04,17.403677940368652,,0.0,0.0
commonsenseqa,fixed32,50,0.8,32.0,57.0522825717926,,0.0,0.0
commonsenseqa,jys_middle16,50,0.8,16.0,62.02946925163269,,0.0,0.0
commonsenseqa,prophet,50,0.8,32.0,119.66157984733582,,0.0,0.0
arc_challenge,ours_v3plus,50,0.86,9.52,16.730411529541016,"{""8"": 0.82, ""8->16"": 0.14, ""8->24"": 0.04}",,
