method,task,task_label,accuracy,n,correct,wilson_lo,wilson_hi,avg_forward_calls,seconds,route_rates
llada8b_32step,arc_challenge,ARC-Challenge,0.8566666666666667,300,257,0.8124985303950185,0.8918158228732633,,469.8824760913849,"{""fixed"": 1.0}"
llada8b_8step,arc_challenge,ARC-Challenge,0.8233333333333334,300,247,0.7761666509606149,0.8623239309741828,,117.73795413970947,"{""fixed"": 1.0}"
llada8b_calibrated,arc_challenge,ARC-Challenge,0.8566666666666667,300,257,0.8124985303950185,0.8918158228732633,33.0,485.02488946914673,"{""32"": 1.0}"
qwen25_7b,arc_challenge,ARC-Challenge,0.89,300,267,0.8495429318702987,0.9205951927314675,,20.577813863754272,"{""fixed"": 1.0}"
llada8b_32step,boolq,BoolQ,0.8666666666666667,300,260,0.8235273610289742,0.9005341236393531,,541.6291291713715,"{""fixed"": 1.0}"
llada8b_8step,boolq,BoolQ,0.8433333333333334,300,253,0.7978910650197151,0.8800937797151731,,135.69854640960693,"{""fixed"": 1.0}"
llada8b_calibrated,boolq,BoolQ,0.8533333333333334,300,256,0.8088365903800316,0.888895385754902,12.866666666666667,216.72022485733032,"{""32"": 0.07666666666666666, ""8"": 0.86, ""8->32"": 0.06333333333333334}"
qwen25_7b,boolq,BoolQ,0.8233333333333334,300,247,0.7761666509606149,0.8623239309741828,,21.696616888046265,"{""fixed"": 1.0}"
llada8b_32step,gsm8k,GSM8K,0.58,100,58,0.4820630799889527,0.672017750814887,,190.1197338104248,"{""fixed"": 1.0}"
llada8b_8step,gsm8k,GSM8K,0.32,100,32,0.2366901081545688,0.4166280225367919,,47.96638250350952,"{""fixed"": 1.0}"
qwen25_7b,gsm8k,GSM8K,0.77,100,77,0.6784543514317231,0.841568452531236,,216.78513765335083,"{""fixed"": 1.0}"
llada8b_32step,hellaswag,HellaSwag,0.78,300,234,0.7297464012422271,0.8231732779590409,,626.5252442359924,"{""fixed"": 1.0}"
llada8b_8step,hellaswag,HellaSwag,0.76,300,228,0.7085778152541881,0.8048476011469895,,156.5808494091034,"{""fixed"": 1.0}"
llada8b_calibrated,hellaswag,HellaSwag,0.78,300,234,0.7297464012422271,0.8231732779590409,33.0,645.8396775722504,"{""32"": 1.0}"
qwen25_7b,hellaswag,HellaSwag,0.85,300,255,0.8051814866362912,0.8859681123652938,,24.05924654006958,"{""fixed"": 1.0}"
