数据集,LLaDA 基础模型,旧版 DDM LoRA,旧版 DDM LoRA 增益,TARDI-LoRA,TARDI 增益,Qwen 基础模型,Qwen LoRA,Qwen LoRA 增益
MMLU-Pro,0.44,0.38,-0.06,0.44,+0.00,0.42,0.54,+0.12
PubMedQA,0.64,0.70,+0.06,0.74,+0.10,0.58,0.76,+0.18
C-Eval,0.56,0.60,+0.04,0.64,+0.08,0.74,0.74,+0.00
SciQ,0.86,0.90,+0.04,0.92,+0.06,0.90,0.90,+0.00
WinoGrande,0.76,0.74,-0.02,0.76,+0.00,0.70,0.70,+0.00
CommonsenseQA,0.80,0.90,+0.10,0.92,+0.12,0.78,0.84,+0.06
ARC,0.86,0.88,+0.02,0.86,+0.00,0.92,0.92,+0.00
HellaSwag,0.74,0.72,-0.02,0.78,+0.04,0.78,0.78,+0.00
BoolQ,0.84,0.88,+0.04,0.92,+0.08,0.88,0.88,+0.00
宏平均,0.722,0.744,+0.022,0.776,+0.053,0.744,0.784,+0.040
