task,task_name,step,n,accuracy,correct,seconds,peak_mem_gb,source
arc_challenge,ARC,4,50,0.820000,41,5.566267,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
arc_challenge,ARC,8,50,0.800000,40,11.183224,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
arc_challenge,ARC,12,50,0.840000,42,16.769495,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
arc_challenge,ARC,16,50,0.840000,42,22.328349,15.648757,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
arc_challenge,ARC,20,50,0.860000,43,27.926719,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
arc_challenge,ARC,24,50,0.860000,43,33.481446,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
arc_challenge,ARC,28,50,0.860000,43,39.067165,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
arc_challenge,ARC,32,50,0.860000,43,44.732439,15.648758,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
boolq,BoolQ,4,50,0.680000,34,9.392270,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
boolq,BoolQ,8,50,0.840000,42,18.801014,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
boolq,BoolQ,12,50,0.840000,42,28.183718,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
boolq,BoolQ,16,50,0.840000,42,37.588452,16.423323,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
boolq,BoolQ,20,50,0.860000,43,46.989119,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
boolq,BoolQ,24,50,0.860000,43,56.362817,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
boolq,BoolQ,28,50,0.860000,43,65.835011,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
boolq,BoolQ,32,50,0.860000,43,75.092621,16.423324,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
ceval_computer_network,C-Eval,4,50,0.500000,25,5.561219,15.643028,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
ceval_computer_network,C-Eval,8,50,0.520000,26,11.138873,15.643028,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
ceval_computer_network,C-Eval,12,50,0.520000,26,16.687898,15.643028,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
ceval_computer_network,C-Eval,16,50,0.520000,26,22.286414,15.643028,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
ceval_computer_network,C-Eval,20,50,0.540000,27,27.838655,15.643029,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
ceval_computer_network,C-Eval,24,50,0.540000,27,33.444578,15.643029,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
ceval_computer_network,C-Eval,28,50,0.540000,27,38.959239,15.643029,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
ceval_computer_network,C-Eval,32,50,0.540000,27,44.504485,15.643029,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
commonsenseqa,CommonsenseQA,4,50,0.820000,41,5.291526,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
commonsenseqa,CommonsenseQA,8,50,0.840000,42,10.597908,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
commonsenseqa,CommonsenseQA,12,50,0.800000,40,15.903116,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps12_9task_limit50_seed23.json
commonsenseqa,CommonsenseQA,16,50,0.800000,40,21.184616,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps16_9task_limit50_seed23.json
commonsenseqa,CommonsenseQA,20,50,0.800000,40,26.528830,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps20_9task_limit50_seed23.json
commonsenseqa,CommonsenseQA,24,50,0.800000,40,31.753177,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps24_9task_limit50_seed23.json
commonsenseqa,CommonsenseQA,28,50,0.800000,40,37.068448,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps28_9task_limit50_seed23.json
commonsenseqa,CommonsenseQA,32,50,0.800000,40,42.350339,15.508423,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps32_9task_limit50_seed23.json
hellaswag,HellaSwag,4,50,0.700000,35,10.162955,16.090279,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps4_9task_limit50_seed23.json
hellaswag,HellaSwag,8,50,0.700000,35,20.375435,16.090279,results/domain_shift/task_aware/solid_v2/step_sweep_limit50_4to32/raw/llada8b_fixed_steps8_9task_limit50_seed23.json
